date,open,high,low,close
2019-07-05,12632.120,12632.120,12522.110,12568.530
2019-07-04,12644.350,12656.050,12616.290,12629.900
2019-07-03,12548.300,12631.810,12545.790,12616.240
2019-07-02,12546.930,12548.220,12484.260,12526.720
2019-07-01,12616.340,12619.680,12519.300,12521.380
2019-06-28,12302.770,12408.220,12297.630,12398.800
2019-06-27,12308.260,12334.570,12209.340,12271.030
2019-06-26,12210.520,12315.840,12189.490,12245.320
2019-06-25,12226.880,12284.570,12213.410,12228.440
2019-06-24,12308.110,12341.560,12250.710,12274.570
2019-06-21,12351.980,12425.200,12316.410,12339.920
2019-06-20,12409.580,12438.370,12355.390,12355.390
2019-06-19,12321.430,12346.700,12291.190,12308.530
2019-06-18,12069.370,12358.000,11987.550,12331.750
2019-06-17,12112.470,12124.680,12059.920,12085.820
2019-06-14,12124.360,12136.650,12049.760,12096.400
2019-06-13,12095.210,12201.780,12079.600,12169.050
2019-06-12,12093.980,12132.280,12068.110,12115.680
2019-06-11,12133.600,12227.400,12117.340,12155.810
2019-06-07,12003.920,12096.610,11987.170,12045.380
2019-06-06,11987.920,12076.950,11899.820,11953.140
2019-06-05,11981.180,12057.730,11928.870,11980.810
2019-06-04,11716.550,11987.890,11713.870,11971.170
2019-06-03,11661.120,11793.630,11620.640,11792.810
2019-05-31,11742.210,11755.120,11662.070,11726.840
2019-05-30,11885.070,11924.660,11858.290,11902.080
2019-05-29,11906.020,11927.640,11828.750,11837.810
2019-05-28,12100.390,12113.310,11992.410,12027.050
2019-05-27,12077.880,12124.550,12050.490,12071.180
2019-05-24,12027.310,12082.050,11990.790,12011.040
2019-05-23,12064.290,12082.750,11926.340,11952.410
2019-05-22,12141.460,12211.030,12055.500,12168.740
2019-05-21,12111.800,12178.250,12066.900,12143.470
2019-05-20,12226.850,12246.500,11993.910,12041.290
2019-05-17,12252.680,12270.890,12150.330,12238.940
2019-05-16,12077.360,12310.370,12030.300,12310.370
2019-05-15,12018.450,12099.570,11862.210,12099.570
2019-05-14,11908.770,11991.830,11897.930,11991.620
2019-05-13,12044.100,12052.930,11844.470,11876.650
2019-05-10,12105.280,12140.610,12009.750,12059.830
2019-05-09,12098.020,12125.960,11957.310,11973.920
2019-05-08,12110.870,12208.480,12063.740,12179.930
2019-05-07,12298.710,12319.050,12056.800,12092.740
2019-05-06,12171.900,12298.660,12135.420,12286.880
2019-05-03,12345.320,12435.670,12344.230,12412.750
2019-05-02,12349.100,12402.870,12303.960,12345.420
2019-04-30,12313.970,12345.310,12281.720,12344.080
2019-04-29,12308.980,12376.060,12266.340,12328.020
2019-04-26,12284.460,12323.640,12259.760,12315.180
2019-04-25,12304.530,12321.790,12236.140,12282.600
2019-04-24,12232.990,12349.830,12223.980,12313.160
2019-04-23,12224.320,12251.810,12182.980,12235.510
2019-04-18,12138.140,12243.630,12100.000,12222.390
2019-04-17,12100.440,12195.000,12086.890,12153.070
2019-04-16,12026.740,12116.250,12025.660,12101.320
2019-04-15,12011.110,12029.980,11983.330,12020.280
2019-04-12,11912.580,12031.150,11889.990,11999.930
2019-04-11,11914.510,11963.430,11846.600,11935.200
2019-04-10,11864.460,11937.110,11863.800,11905.910
2019-04-09,11927.010,11988.530,11850.570,11850.570
2019-04-08,11979.730,11989.590,11948.260,11963.400
2019-04-05,11993.220,12024.230,11967.700,12009.750
2019-04-04,11924.610,12029.260,11916.570,11988.010
2019-04-03,11855.400,11961.360,11854.210,11954.400
2019-04-02,11703.240,11777.650,11659.150,11754.790
2019-04-01,11617.180,11706.640,11612.700,11681.990
2019-03-29,11492.090,11549.420,11442.120,11526.040
2019-03-28,11422.160,11494.150,11414.660,11428.160
2019-03-27,11439.020,11502.350,11368.130,11419.040
2019-03-26,11374.180,11447.130,11299.800,11419.480
2019-03-25,11323.200,11392.000,11312.540,11346.650
2019-03-22,11578.390,11623.970,11356.490,11364.170
2019-03-21,11566.870,11582.540,11467.790,11549.960
2019-03-20,11704.440,11721.410,11596.200,11603.890
2019-03-19,11672.760,11823.290,11652.020,11788.410
2019-03-18,11685.540,11712.360,11635.880,11657.060
2019-03-15,11608.670,11725.660,11575.330,11685.690
2019-03-14,11573.420,11635.760,11541.100,11587.470
2019-03-13,11499.320,11586.900,11486.740,11572.410
2019-03-12,11612.460,11618.730,11499.470,11524.170
2019-03-11,11497.980,11550.590,11462.900,11543.480
2019-03-08,11429.770,11475.550,11405.210,11457.840
2019-03-07,11546.420,11612.950,11452.860,11517.800
2019-03-06,11593.210,11652.770,11565.220,11587.630
2019-03-05,11570.970,11627.780,11551.450,11620.740
2019-03-04,11646.210,11650.440,11591.740,11592.660
2019-03-01,11584.240,11676.860,11583.080,11601.680
2019-02-28,11430.800,11524.990,11416.080,11515.640
2019-02-27,11493.810,11521.220,11442.970,11487.330
2019-02-26,11446.290,11556.870,11441.870,11540.790
2019-02-25,11517.760,11544.310,11480.490,11505.390
2019-02-22,11422.620,11504.710,11420.740,11457.700
2019-02-21,11448.650,11454.440,11392.270,11423.280
2019-02-20,11338.740,11437.470,11318.740,11401.970
2019-02-19,11280.730,11371.440,11244.520,11309.210
2019-02-18,11287.740,11318.190,11256.270,11299.200
